,breed,male_h,female_h,male_w,female_w,w_kid,in_out_door
476,Russell-Terrier,,,,,,
477,West-Highland-White-Terrier,"[10, 12, 11]","[9, 11, 10]","[15, 22]","[13, 17]",,
478,"Coonhound,-Treeing-Walker",,,,,,
479,Samoyed,"[21, 23]",[19],"[45, 65]","[35, 50]","Although they prefer one
person, they generally love everyone, especially
those in their family. They do well with children.
",
480,Australian-Silky-Terrier,,,,,,
481,English-Cocker-Spaniel,"[16, 17]","[15, 16]","[28, 34]","[26, 32]",,
482,"Pointer,-German-Wirehaired",,,,,,
483,Cockapoo,[15],[15],"[6, 12, 13, 18, 19]","[6, 12, 13, 18, 19]",Kids are fine with the Cockapoo because that makes more people to give them attention and play with them. Teach kids how to properly play with dogs.,"They can be outdoors in a fenced yard for short periods of time, but should never be left outside for extended periods. They love to be wherever their family is! Thus, they will want to be indoors when you are indoors or when you are gone from home."
484,"Jindo-Dog,-Korea",,,,,,
485,"Mastiff,-French-(Dogue-de-Bordeaux)",,,,,,
486,"Schnauzer,-Giant",,,,,,
487,Eurasier,"[20, 24, 16, 18]","[20, 24, 16, 18]","[50, 70, 40, 60]","[50, 70, 40, 60]",,
488,Saint-Bernard,[],[],"[110, 200]","[110, 200]",,
489,Redbone-Coonhound,"[21, 27, 66]","[21, 27, 66]","[50, 70, 32]","[50, 70, 32]",,
490,Pembroke-Welsh-Corgi,"[10, 12]","[10, 12]",[],[],,
491,Coton-de-Tulear,,,,,,
492,Irish-Red-and-White-Setter,,,,,,
493,Alaskan-Malamute,"[24, 26]","[22, 24]","[80, 95]","[70, 85]"," Malamutes can live with older
children who learn to handle and play with them
appropriately."," The Alaskan Malamute loves to
be outdoors, especially in cool weather. In hot
weather he needs to be in the air conditioning.
He loves a large yard and is not suited to apartment
living. Make sure the fencing is tall and the base
of it is buried. If in an appropriate climate, he
is happy to live outdoors as long as he gets plenty
of â€śpeople timeâ€ť with his human pack
members. Companionship and pack time are important
to them."
494,Wirehaired-Pointing-Griffon,,,,,,
495,St.-Bernard,,,,,,
496,"Coonhound,-Black-and-Tan",,,,,,
497,Briard,"[30, 40]","[25, 35]",[],[],,
498,Akita,"[26, 28]","[24, 26]","[75, 100]",[110],,
499,Pharaoh-Hound,"[23, 25, 63, 21, 24, 61]","[23, 25, 63, 21, 24, 61]","[50, 55]","[45, 50]","Pharaoh Hounds are well suited to families with kids. They are patient and gentle with children, and they get along well with other dogs.",
500,American-Foxhound,"[21, 25]","[21, 25]","[65, 75]","[65, 75]",,
501,Bullmastiff,,,,,,
502,German-Pinscher,"[16, 19, 48]","[16, 19, 48]","[25, 35, 16]","[25, 35, 16]",,
503,Afghan-Hound,"[27, 29]","[27, 29]",[],[],,
504,Black-and-Tan-Coonhound,[25],[23],"[60, 70]","[50, 60]"," Black and Tan Coonhound is a great
breed for all ages of children. They may be a bit
rough in their play for the smallest of children
as they are a rambunctious dog at play. Otherwise
they are most loving and tolerant of children."," A properly bred Black and Tan
Coonhound is a pack dog for the elements and would
rather be with canines or family outside whenever
possible. They can consider their family a pack
but a lifestyle indoors on a sofa is not for him.
A fenced yard is ideal for Black and Tan Coonhound;
this breed will totally ignore the warning and shock
of invisible fencing whenever there is a scent to
follow. Black and Tan Coonhound is definitely not
an urban or apartment breed. "
505,Bluetick-Coonhound,,,,,,
506,Irish-Wolfhound,[30],[28],"[120, 150]","[90, 120]","They are great with children and
consider themselves part of the family. ","Though gentle and loving,
their large size and sometimes clumsy movements
require more space than an apartment will
allow. A safe, enclosed yard will serve Irish Wolfhounds best for exercise as will frequent short walks on lead."
507,Affenpinscher,"[24, 29]","[24, 29]","[7, 8, 3]","[7, 8, 3]",,
508,Great-Pyrenees,,,,,,
509,Dutch-Shepherd,"[22, 25]","[22, 25]","[55, 67]","[55, 67]",,
510,"Coonhound,-Blue-Tick",,,,,,
511,Chesapeake-Bay-Retriever,"[23, 26, 66, 21, 24, 61]","[23, 26, 66, 21, 24, 61]","[65, 80, 36, 55, 70, 32]","[65, 80, 36, 55, 70, 32]",,
512,Soft-Coated-Wheaten-Terrier,"[18, 19]","[17, 18]","[35, 40]","[30, 35]",,
513,Leonberger,"[29, 31, 80]","[27, 29, 74]","[130, 170, 77]","[100, 130, 59]",,
514,Chinese-Shar-Pei,"[18, 20]","[18, 20]","[40, 55]","[40, 55]",,
515,Jindo,"[21, 20]","[21, 20]",[],[],,
516,Dogue-de-Bordeaux,,,,,,
517,Yorkshire-Terrier-Crossbreed,,,,,,
518,Spinone-Italiano,,,,,,
519,"Dachshund,-Wirehaired",,,,,,
520,Kerry-Blue-Terrier,"[20, 51, 19, 48]","[20, 51, 19, 48]","[33, 40, 18]","[33, 40, 18]",,
521,Brittany,,,,,,
522,Pomeranian-Crossbreed,,,,,,
523,Belgian-Tervuren,[],[],"[65, 75, 60, 70]","[65, 75, 60, 70]",,
524,Keeshond,"[17, 19]","[17, 19]","[55, 66, 35, 45]","[55, 66, 35, 45]",,
525,Flat-Coated-Retriever,[23],[22],"[60, 70]","[60, 70]",,
526,German-Spitz,[],[],[],[],,
527,Lowchen,[],[],"[5, 8]","[4, 6]",They are good with children and non-canine pets. ,
528,Chihuahua-Crossbreed,,,,,,
529,Irish-Setter,[26],[26],"[65, 75]","[65, 75]",,
530,Smooth-Fox-Terrier,[14],"[13, 15]","[14, 18]","[12, 16]",,
531,Norwegian-Elkhound,[19],[18],"[50, 60]","[40, 50]",,
532,Polish-Lowland-Sheepdog,,,,,,
533,Puli,[],[],[],[],"Cozy and very friendly especially towards children, they are sensitive and prone to resentment.",
534,"Mastiff,-Neapolitan",,,,,,
535,Terrier-Crossbreed,,,,,,
536,Welsh-Springer-Spaniel,[17],[16],"[40, 45]","[35, 45]","They are gentle and excellent
with children. They get along with other pets. ",
537,Lakeland-Terrier,[],[],[],[],,
538,American-Leopard-Hound,,,,,,
539,Lagotto-Romagnolo,,,,,,
540,"Collie,-Bearded",,,,,,
541,Maltese-Crossbreed,,,,,,
542,Perro-de-Presa-Canario,,,,,,
543,Belgian-Sheepdog,[],[],"[65, 75, 60, 70]","[65, 75, 60, 70]",,
544,Portuguese-Sheepdog,,,,,,
545,Shih-Tzu-Crossbreed,,,,,,
546,Bedlington-Terrier,[],[],"[18, 23]","[18, 23]",,
547,Bolognese,,,,,,
548,Karelian-Bear-Dog,,,,,,
549,Clumber-Spaniel,[],[],"[70, 85]","[55, 70]",,
550,Miniature-Bull-Terrier,,,,,,
551,Mudi,"[15, 19, 47]","[15, 19, 47]","[18, 29, 13]","[18, 29, 13]",,
552,Giant-Schnauzer,"[26, 28, 71, 23, 26, 66]","[26, 28, 71, 23, 26, 66]","[60, 80, 36, 55, 75, 34]","[60, 80, 36, 55, 75, 34]",,
553,Bearded-Collie,[21],[20],"[40, 60]","[40, 60]",,
554,Biewer-Terrier,,,,,,
555,Poodle-Crossbreed,,,,,,
556,Airedale-Terrier,"[22, 24]","[22, 23]","[50, 65]","[40, 55]",,
557,Skye-Terrier,[],[],[],[],,
558,Border-Collie-Crossbreed,,,,,,
559,Entlebucher-Mountain-Dog,,,,,,
560,English-Toy-Spaniel,"[9, 11]","[9, 11]","[8, 14]","[8, 14]",,
561,Thai-Ridgeback,"[22, 24, 60]","[20, 22]","[51, 75, 34]","[51, 75, 34]","The Thai Ridgeback can be a good companion for older children, but they may not best for toddlers. They may view family cats as preys unless they have been socialized with them from an early age. Similarly Thai Ridgebacks can be aggressive towards other dogs they don't know, unless they have been socialized well.",
562,Maltipoo,"[8, 14]","[8, 14]","[5, 20]","[5, 20]","The Maltipoo loves children, but should not be trusted with children younger than age six without supervision.", The Maltipoo needs to live inside your home. 
563,Borzoi,,,,,,
564,Fila-Brasileiro,,,,,,
565,Curly-Coated-Retriever,"[25, 27, 69]","[25, 27, 69]","[65, 80, 36]","[65, 80, 36]",,
566,Morkie,,,,,,
567,Greater-Swiss-Mountain-Dog,"[130, 135]","[130, 135]","[130, 135]","[130, 135]",,
568,Glen-of-Imaal-Terrier,[14],[14],"[34, 36]","[34, 36]",,
569,English-Foxhound,"[22, 25, 63, 21, 24, 61]","[22, 25, 63, 21, 24, 61]","[65, 70, 32]","[65, 70, 32]",,
570,Tibetan-Mastiff,[],[],[],[],,
571,American-Bully,,,,,,
572,Rottweiler-Crossbreed,,,,,,
573,Dachshund-Crossbreed,,,,,,
574,Pharoh-hound,,,,,,
575,Treeing-Walker-Coonhound,,,,,,
576,Harrier,,,,,,
577,Canaan-Dog,"[19, 24, 61]","[19, 24, 61]","[35, 55, 25]","[35, 55, 25]",,
578,Schnauzer-Crossbreed,,,,,,
579,Goldendoodle,"[25, 29]","[25, 29]","[60, 90]","[60, 90]",The Goldendoodle is a great family dog who will bond with all family members and want to go with everyone. He will lie with younger children while they play or go outdoors and play fetch with older children.," Goldendoodles want to live indoors because they want to be with their families, but they love having a fenced yard for running and exploring. They also love all types of outdoor activities with their families. Many will enjoy swimming in your pool or the ocean if they start as puppies. Always rinse them with fresh water after a swim."
580,Kai-Ken,,,,,,
581,Finnish-Spitz,"[15, 20, 51]","[15, 20, 51]","[31, 35, 16]","[31, 35, 16]",,
582,Scottish-Deerhound,,,,,,
583,Treeing-Tennessee-Brindle,,,,,,
584,"Mastiff,-Tibetan",,,,,,
585,Dogo-Argentino,,,,,,
586,Saluki,[],"[23, 40, 65]",[],[],,
587,Gordon-Setter,"[24, 27, 69, 23, 26, 66]","[24, 27, 69, 23, 26, 66]","[55, 80, 36, 45, 70, 32]","[55, 80, 36, 45, 70, 32]",,
588,Peruvian-Inca-Orchid,,,,,,
589,Dandie-Dinmont-Terrier,,,,,,
590,Small-Munsterlander-Pointer,,,,,,
591,Belgian-Griffon,,,,,,
592,German-Longhaired-Pointer,,,,,,
593,Polish-Hound,,,,,,
594,Hovawart,"[24, 28, 22, 26]","[24, 28, 22, 26]","[55, 90]","[55, 90]",,
595,American-Hairless-Terrier,"[7, 16, 41, 5, 16, 7]","[7, 16, 41, 5, 16, 7]","[7, 16, 41, 5, 16, 7]","[7, 16, 41, 5, 16, 7]",,
596,Boykin-Spaniel,"[15, 18]","[14, 17]","[30, 40]","[25, 35]",,
597,Cesky-Terrier,,,,,,
598,Otterhound,"[24, 26, 65]","[24, 26, 65]","[66, 115, 52]","[66, 115, 52]",,
599,Boerboel,"[25, 28, 70]","[23, 65, 154, 200, 90]","[25, 28, 70]","[23, 65, 154, 200, 90]",,
600,Ibizan-Hound,[26],[],"[45, 50]","[40, 45]",,
601,Chinook,,,,,,
602,Sussex-Spaniel,,,,,,
603,Bracco-Italiano,,,,,,
604,Russian-Wolfhound,,,,,,
605,Boxer-Crossbreed,,,,,,
606,Siberian-Husky-Crossbreed,,,,,,
607,Kromfohrlander,,,,,,
608,Cocker-Spaniel-Crossbreed,,,,,,
609,Pug-Crossbreed,,,,,,
610,Russian-Toy,,,,,,
611,Spanish-Water-Dog,"[17, 20, 50]","[16, 18, 46]","[40, 49, 22]","[30, 40, 18]",,
612,American-Water-Spaniel,,,,,,
613,Cirneco-dell,,,,,,
614,Pyrenean-Shepherd,,,,,,
615,"Bull-Dog,-American",,,,,,
616,Berger-Picard,"[21, 26]","[21, 26]","[50, 70]","[50, 70]",,
617,Wirehaired-Vizsla,,,,,,
618,Kuvasz,"[28, 30, 26, 28, 71]","[28, 30, 26, 28, 71]","[100, 115, 70, 90]","[100, 115, 70, 90]",,
619,Black-Russian-Terrier,"[27, 30]","[26, 29]","[80, 150]","[80, 150]",,
620,Norwegian-Buhund,,,,,,
621,Barbet,"[57, 66]","[52, 62]",[],[],,
622,Pembroke-Welsh-Corgi-Crossbreed,,,,,,
623,"Schnauzer,-Miniature-Crossbreed",,,,,,
624,Bichon-Frise-Crossbreed,,,,,,
625,Pumi,"[13, 19, 48]","[13, 19, 48]","[18, 33, 15]","[18, 33, 15]",,
626,Grand-Basset-Griffon-Vendeen,,,,,,
627,Miniature-Fox-Terrier,,,,,,
628,Japanese-Spitz,"[12, 15]","[12, 15]","[11, 20]","[11, 20]",,
629,Jack-Russell-Terrier-Crossbreed,,,,,,
630,French-Spaniel,,,,,,
631,Bloodhound-Crossbreed,,,,,,
632,Shiba-Inu-Crossbreed,,,,,,
633,Hamiltonstovare,,,,,,
634,Rat-Terrier-Crossbreed,,,,,,
635,Afghan-Hound-Crossbreed,,,,,,
636,Finnish-Lapphund,,,,,,
637,Swedish-Vallhund,,,,,,
638,Neapolitan-Mastiff,"[26, 30, 75]","[24, 28, 70]","[165, 200]","[165, 200]",,
639,Icelandic-Sheepdog,,,,,,
640,Brussels-Griffon-Crossbreed,,,,,,
641,Belgian-Laekenois,,,,,,
642,Estrela-Mountain-Dog,,,,,,
643,Pomsky,,,,,,
644,Miniature-Australian-Shepherd,,,,,,
645,Beauceron,"[24, 28]","[24, 28]","[66, 85, 110]","[66, 85, 110]",,
646,Jagdterrier,,,,,,
647,Shepard-Crossbreed,,,,,,
648,Azawakh,,,,,,
649,Mountain-Feist,,,,,,
650,English-Setter-Crossbreed,,,,,,
651,Baladi,,,,,,
652,Tosa,,,,,,
653,Stabyhoun,,,,,,
654,Basset-Hound-Crossbreed,,,,,,
655,Dalmatian-Mix,,,,,,
656,"Coonhound,-Redbone",,,,,,
657,Irish-Water-Spaniel,[],[],[],[],,
658,Patterdale-Terrier,[12],[12],"[11, 13, 6]","[11, 13, 6]",,
659,Kishu-Ken,,,,,,
660,Swedish-Lapphund,,,,,,
661,Greek-Shephard,,,,,,
662,Alaskan-Klee-kai,"[15, 17, 13, 15, 10, 13]","[15, 17, 13, 15, 10, 13]","[23, 15, 10]","[23, 15, 10]",,
663,Olde-English-Bulldogge,[16],[16],[50],[50],,
664,Tornjak,,,,,,
665,Not-Provided,,,,,,
666,CAVACHON,"[12, 13]","[12, 13]","[15, 25]","[15, 25]","If they are well socialized with kids from a young age, they will love having all the attention from all family members."," They are an indoor dog, but love outdoor playtimes and walks when the weather permits."
667,SHAR-PEI,,,,,,
668,Terrier-X,,,,,,
669,Zuchon,,,,,,
670,Giant-Schnoodle,,,,,,
671,COCKAPOO,[15],[15],"[6, 12, 13, 18, 19]","[6, 12, 13, 18, 19]",Kids are fine with the Cockapoo because that makes more people to give them attention and play with them. Teach kids how to properly play with dogs.,"They can be outdoors in a fenced yard for short periods of time, but should never be left outside for extended periods. They love to be wherever their family is! Thus, they will want to be indoors when you are indoors or when you are gone from home."
672,AM-STAFFORD-TERRIER-MIX,,,,,,
673,MIXED-HOUND,,,,,,
674,English-Golden-Doodle,,,,,,
675,TOY-AUSTRALIAN-SHEPHERD,,,,,,
676,Mixed-Breed,,,,,,
677,SHIHPOO,,,,,,
678,Husky-Mixed,,,,,,
679,TEDDY-BEAR,,,,,,
680,MALTI-ZU,,,,,,
681,Mi-Ki,,,,,,
682,Terrier-mixed,,,,,,
683,Basset/Beagle-Mix,,,,,,
684,TERRIER-X,,,,,,
685,MINI-PINSCHER,,,,,,
686,HOUND-MIXED,,,,,,
687,Red-Nose-Pit-Bull,,,,,,
688,CAVAPOO,[],[],[],[],"The Cavapoo makes a good small dog for a family, but young children should be supervised with them. They will love all family members.",Cavapoos are indoor dogs who love a good walk or a fenced yard to explore. They love to meet people and go places with their owners. They should be leashed any time they are not inside a fenced area.
689,MINI-DACHSHUND,,,,,,
690,Welsh--Springer-Spaniel,,,,,,
691,Cattle-Dog---Blue-Healer,,,,,,
692,Labrador--Pointer-Mixed,,,,,,
693,"shepherd,-terrier,-mastiff-mix",,,,,,
694,Blue-Merle-Sheltie,,,,,,
695,Yellow-Labrador,,,,,,
696,Norkie,,,,,,
697,Unknown-(stray),,,,,,
698,COCKER-POO,,,,,,
699,boerboel,"[25, 28, 70]","[23, 65, 154, 200, 90]","[25, 28, 70]","[23, 65, 154, 200, 90]",,
700,morkie,,,,,,
701,Terrier-and-Chihuahua-mix-maybe,,,,,,
702,MORKIE,,,,,,
703,American-Bulldog,"[22, 28, 70, 20, 26, 65]","[22, 28, 70, 20, 26, 65]","[70, 120, 54, 60, 100]","[70, 120, 54, 60, 100]","American Bulldogs can be affectionate and gentle often get along well with children. However, early socialization with children is important and young children should never be left unsupervised with any dog, especially one of this size and strength.",The American Bulldog will do okay in an apartment if it is sufficiently exercised. They are relatively inactive indoors and will do best with at least an average-sized yard.
704,Yorkie-Poo,,,,,,
705,Pyrenees-Poodle-Mix,,,,,,
706,Black-Lab-mix,,,,,,
707,yorkiepoo,,,,,,
708,Crossbreed,,,,,,
709,ALASKAN-KLEE-KAI,"[15, 17, 13, 15, 10, 13]","[15, 17, 13, 15, 10, 13]","[23, 15, 10]","[23, 15, 10]",,
710,Australian-Shepherd-Mix,,,,,,
711,Chorkie,"[6, 9]","[6, 9]","[8, 15]","[8, 15]",Chorkies should be in homes with adults or adults and older children who can play gently with them.,"The Chorkie does not tolerate hot or cold weather, so prefers to live indoors and take short walks."
712,HOUND-MIX,,,,,,
713,UNKNOWN-BREED?,,,,,,
714,rat-terrier,[],[],[],[],,
715,miniature-poodle-/-cocker-spaniel,,,,,,
716,Wheaton-Mix,,,,,,
717,PIT-BULL-MIX,,,,,,
718,Doxie,,,,,,
719,Chow-Chow-Mix,,,,,,
720,YORKIE/CHIHUAHUA,,,,,,
721,Labrador---Pit-Bull-Mix,,,,,,
722,Schnauzer-Mix,,,,,,
723,HAVAPOO,,,,,,
724,Hound-mix,,,,,,
725,Toy-Australian-Shepherd,,,,,,
726,SHIH-POO,"[8, 13]","[8, 13]","[13, 20]","[13, 20]",Shih-poos love to play with kids. Kids should be supervised with the Shih-poo until they learn to play gently and not squeeze too hard when hugging.,"The Shih-Poo is a great indoor dog who can even live happily in an apartment or RV if he gets walks to meet people, explore his surroundings, and go potty. It is best to keep him on a leash to protect him from larger dogs and animals. He can be happy in a house with a fenced yard â€“ and getting a walk or two a day. "
727,Labrador-Retrieve-Mix,,,,,,
728,Mini-Dachshund,,,,,,
729,BL-NS-PIT-BULL,,,,,,
730,Cock-A-Poo,,,,,,
731,ENGLISH-COCKER-SPANIEL,"[16, 17]","[15, 16]","[28, 34]","[26, 32]",,
732,AM-STAFF-TER-X,,,,,,
733,YORKIE-SHIH-TZU,,,,,,
734,S.C.WHEATEN-TER,,,,,,
735,MALTEPOO,,,,,,
736,SHEPARD-MIX,,,,,,
737,Bull-Dog/Sher-pei-Mixed,,,,,,
738,TERRIER-MIX,,,,,,
739,AM-TERRIER,,,,,,
740,POOCHON,,,,,,
741,MUTT,,,,,,
742,Havanese/Chihuahua,,,,,,
743,Jack-Russell-Terrier--Chihuahua-Mix,,,,,,
744,Shorkie,,,,,,
745,Collie-Shepherd-Mix,,,,,,
746,Shih-tzo-mix,,,,,,
747,Chow-Chow-X,,,,,,
748,pit-bull-mix,,,,,,
749,dachshund-mix,,,,,,
750,UNKNOWN,,,,,,
751,Boston-Terrier-Beagle,,,,,,
752,Miniature-Pin-Mix,,,,,,
753,Boston-Terrier-Mix,,,,,,
754,PIT-BULL-X,,,,,,
755,CHIHUAHUA-MIX,,,,,,
756,unknown,,,,,,
757,Cocker-Pug,,,,,,
758,Terrier-/-Hound,,,,,,
759,Mini-Shepherd-X,,,,,,
760,AMERICAN-BULLDOG,"[22, 28, 70, 20, 26, 65]","[22, 28, 70, 20, 26, 65]","[70, 120, 54, 60, 100]","[70, 120, 54, 60, 100]","American Bulldogs can be affectionate and gentle often get along well with children. However, early socialization with children is important and young children should never be left unsupervised with any dog, especially one of this size and strength.",The American Bulldog will do okay in an apartment if it is sufficiently exercised. They are relatively inactive indoors and will do best with at least an average-sized yard.
761,ENGLISH-MASTIFF,,,,,,
762,canine,,,,,,
763,Mini-Pinscher-Mixed,,,,,,
764,Beagle/Hound-Mix,,,,,,
765,YORKI-POO,,,,,,
766,"rabies,bordetella",,,,,,
767,MANCHESTER-TERRIER,"[10, 12]","[10, 12]","[12, 22]","[12, 22]","Small children and non-canine pets that
were introduced while still young should be accepted. Respect should be shown to the petsâ€™ toys and food. ",
768,Peekapoo,[11],[11],"[4, 20]","[4, 20]",Yes, The Peekapoo is a lively dog who loves to live in your house with you. He will like to sit in your lap and sleep in your bed. He also likes to take walks and rides.
769,COTON-DE-TULEAR,,,,,,
770,SHIMALT,,,,,,
771,Havenese-Poodle,,,,,,
772,Bichon-Poodle,,,,,,
773,SHORKIE,,,,,,
774,Malchi,,,,,,
775,YORKIE-BICHON,,,,,,
776,Rat-Terrier-X,,,,,,
777,Cigi,,,,,,
778,BRINDLE-PIT-BULL,,,,,,
779,Malagasssy-coton-du-tulear,,,,,,
780,HUSKY-MIX,,,,,,
781,LAB/CHOW-CHOW,,,,,,
782,cockapoo,[15],[15],"[6, 12, 13, 18, 19]","[6, 12, 13, 18, 19]",Kids are fine with the Cockapoo because that makes more people to give them attention and play with them. Teach kids how to properly play with dogs.,"They can be outdoors in a fenced yard for short periods of time, but should never be left outside for extended periods. They love to be wherever their family is! Thus, they will want to be indoors when you are indoors or when you are gone from home."
783,"Vizsla,-mini-pin",,,,,,
784,Malti-Poo,,,,,,
785,CAV-KING-C.SPAN,,,,,,
786,Hound-Cattle-Dog,,,,,,
787,Shysuu-Poodle-Mini,,,,,,
788,Chi-wee-nie,,,,,,
789,PAPILLION-X,,,,,,
790,Westie-Poodle,,,,,,
791,WHOODLE,,,,,,
792,Peke-A-Pom,,,,,,
793,Rat-Terrier---X,,,,,,
794,Chocolate-Labrador-Retriever,,,,,,
795,YORKIE-POO,,,,,,
796,Catahoula,"[22, 26]","[20, 24]","[40, 95]","[40, 95]",,
797,LAB-RETRIEVER-MIX,,,,,,
798,BOXER-MIX,,,,,,
799,BERNSES-MOUNT-DOG-MIX,,,,,,
800,TOY-POODLE,[10],[10],[],[],,
801,Irish-Weaton,,,,,,
802,Glen-Of-Imaal-Terrier,[14],[14],"[34, 36]","[34, 36]",,
803,chi-spaniel,,,,,,
804,Labrador--Mixed,,,,,,
805,Shih-Tzu-X,,,,,,
806,Ori-Pei,,,,,,
807,Lab-Bord-Collie-X,,,,,,
808,Teddy-Bear,,,,,,
809,shepard-mix,,,,,,
810,CHI-POO,,,,,,
811,Hound-X,,,,,,
812,PIT-MIX,,,,,,
813,JACK-RUSS-MIX,,,,,,
814,CHISH-X,,,,,,
815,TIBETAN-TERRIER-MIX,,,,,,
816,YORKIE/SHIH-TZU,,,,,,
817,Mix-Poodle,,,,,,
818,Cattle-Dog-Mix,,,,,,
819,Sheltie-Mix,,,,,,
820,CHIHUAHUA-JACK-RUSSELL-TERRIER,,,,,,
821,MALTI-POO,,,,,,
822,GOLDEN-DOODLE,,,,,,
823,COCK-A-POO,,,,,,
824,Maltese-X,,,,,,
825,TERRIER--X,,,,,,
826,JACK-RUSSELL,,,,,,
827,POINTER-MIX,,,,,,
828,MALT---POO,,,,,,
829,Mi-KI,,,,,,
830,SHIBA-INU-X,,,,,,
831,shih-tzu-mix,,,,,,
832,TOY-FOX-TERRIER,,,,,,
833,Malsish,,,,,,
834,maltipoo,"[8, 14]","[8, 14]","[5, 20]","[5, 20]","The Maltipoo loves children, but should not be trusted with children younger than age six without supervision.", The Maltipoo needs to live inside your home. 
835,CAVA-POO,,,,,,
836,Terrier--Mixed,,,,,,
837,Louisiana-Catahoula-Leopard,,,,,,
838,Spaniel-Mix,,,,,,
839,welsh-terrier,[],[],[],[],,
840,PITBULL/MASTIFF-MIX,,,,,,
841,RAT-TERR-MIX,,,,,,
842,RAT-TERRIER-MIX,,,,,,
843,DACHSHUND---X,,,,,,
844,Mixed-breed,,,,,,
845,Pinscher-Mix,,,,,,
846,Shitzu-X,,,,,,
847,pit-bull,"[18, 22, 56]","[18, 22, 56]","[22, 110, 50]","[22, 110, 50]",,
848,ENG-SPRINGER-SPANIEL,,,,,,
849,SCHNOODLE,"[10, 12, 12, 15, 15, 26]","[10, 12, 12, 15, 15, 26]","[6, 10, 13, 20, 20, 75]","[6, 10, 13, 20, 20, 75]","Schnoodles are great with kids. Even the Toy Schoodle is a sturdy dog, so all sizes will love playing with kids and being cuddled by all family members.","Schnoodles are indoor dogs, but need room to run in a fenced yard. When they are out of their fenced yard, they should always be on a leash."
850,HOUND-X,,,,,,
851,Poodle-/Cocker-Spaniel-Mix,,,,,,
852,Goldendoddle,,,,,,
853,Bull-Mastiff-Mix,,,,,,
854,TEACUP-MALTESE,,,,,,
855,JACK-RUSSELL--CROSS,,,,,,
856,JOY-FOX-TERRIER,,,,,,
857,W-HIGH-WT-TERR,,,,,,
858,RED-NOSE-PIT-BULL,,,,,,
859,Peek-A-Poo,,,,,,
860,Mixed-Terrier,,,,,,
861,Lab-Pointer-Hound,,,,,,
862,CHIH-POMER,,,,,,
863,ENG-COCKER-SPANIEL,,,,,,
864,Yorkie-Bichon,,,,,,
865,SHORKIE-TZU,"[6, 14]","[6, 14]","[5, 15]","[5, 15]","Shorkies are not fond of kids and are very jealous of any attention a kid gets instead of his getting it. They insist on their own way and want to be the center of attention, so may be snappy with or bark at children.",The Shorkie Tzu is a cuddly indoor dog who likes to take a walk on his leash.
866,LakelandTerrier,,,,,,
867,HUSKY/KELPIE,,,,,,
868,Schnoodle,"[10, 12, 12, 15, 15, 26]","[10, 12, 12, 15, 15, 26]","[6, 10, 13, 20, 20, 75]","[6, 10, 13, 20, 20, 75]","Schnoodles are great with kids. Even the Toy Schoodle is a sturdy dog, so all sizes will love playing with kids and being cuddled by all family members.","Schnoodles are indoor dogs, but need room to run in a fenced yard. When they are out of their fenced yard, they should always be on a leash."
869,Carolina-Dog,"[17, 24]","[17, 24]","[30, 44]","[30, 44]",,
870,Viszla-Mix,,,,,,
871,HAVACOV,,,,,,
872,Amer.Eskimo-Dog-Mix,,,,,,
873,SHIHTZU-A-POO,,,,,,
874,PEKA-POO,,,,,,
875,Beagle/English-Bull-Dog,,,,,,
876,Westie,,,,,,
877,SHORKY,,,,,,
878,GoldenDoodle,"[25, 29]","[25, 29]","[60, 90]","[60, 90]",The Goldendoodle is a great family dog who will bond with all family members and want to go with everyone. He will lie with younger children while they play or go outdoors and play fetch with older children.," Goldendoodles want to live indoors because they want to be with their families, but they love having a fenced yard for running and exploring. They also love all types of outdoor activities with their families. Many will enjoy swimming in your pool or the ocean if they start as puppies. Always rinse them with fresh water after a swim."
879,CHIH/POO,,,,,,
880,Golden-Doodle,,,,,,
881,Chihuahua--Mix,,,,,,
882,Jack-Russell-Terrier-Mix,,,,,,
883,BL-NOSE-PIT-BULL,,,,,,
884,Great-Swiss-Mountain-Dog,,,,,,
885,MINI-AUST-SHEP,,,,,,
886,chihuahua-yorkie,,,,,,
887,Labra-Doodle,,,,,,
888,Shepard-Mix,,,,,,
889,BICHON-POO,,,,,,
890,Toy-Austrialian-Shepherd,,,,,,
891,RAT-TERRIER,[],[],[],[],,
892,SHIHMALT,,,,,,
893,Lhaso-Apso-Mix,,,,,,
894,Jack-Russell-Terrier/Puggle,,,,,,
895,Bull-Dog-/-Beagle,,,,,,
896,PARSON-RUSSELL-TERR,,,,,,
897,Fox-Hound-Mix,,,,,,
898,Berger-Pichard,,,,,,
899,Shotzy-Mix,,,,,,
900,TOY-POODLE-MIX,,,,,,
901,MALTESE/POODLE,,,,,,
902,MALTIPOO,"[8, 14]","[8, 14]","[5, 20]","[5, 20]","The Maltipoo loves children, but should not be trusted with children younger than age six without supervision.", The Maltipoo needs to live inside your home. 
903,whoodle,,,,,,
904,Miniature-Dacshund,,,,,,
905,BRUSSEL-GRIFFON,,,,,,
906,WHIPPET-MIX,,,,,,
907,LHASA-APSO-MIX,,,,,,
908,SILKY-POO,,,,,,
909,PORTUGESE-W.DOG,,,,,,
910,YORKIDOODLE,,,,,,
911,Maltese/-Shih-Tzu-Mix,,,,,,
912,Toy-Aussie,,,,,,
913,westie-terrier-schnauser-mix,,,,,,
914,Australian-Labradoodle,,,,,,
